probe,hexcode,logFC,neg_logPvalues,significant,expression_dummy_variable,expression,tooltip
33791_at,#FA5E5B,-1.83015543681145,1.47571836853107,TRUE,-1,lower,33791_at
36131_at,#FA5E5B,-0.988822084907118,1.47571836853107,TRUE,-1,lower,36131_at
100_g_at,#0198F5,-0.0820094681411294,0.0000396468309127171,FALSE,0,no diff,100_g_at
1000_at,#0198F5,0.128276985435311,0.0000396468309127171,FALSE,0,no diff,1000_at
1001_at,#0198F5,-0.0260271155996058,0.0000396468309127171,FALSE,0,no diff,1001_at
1002_f_at,#0198F5,0.0347867957818897,0.0000396468309127171,FALSE,0,no diff,1002_f_at
1003_s_at,#0198F5,0.0330882303746429,0.0000396468309127171,FALSE,0,no diff,1003_s_at
1004_at,#0198F5,-0.120252101817569,0.0000396468309127171,FALSE,0,no diff,1004_at
1005_at,#0198F5,0.604731437208759,0.0000396468309127171,FALSE,0,no diff,1005_at
1006_at,#0198F5,0.0183864312933182,0.0000396468309127171,FALSE,0,no diff,1006_at
1007_s_at,#0198F5,0.134647757330237,0.0000396468309127171,FALSE,0,no diff,1007_s_at
1008_f_at,#0198F5,0.241707462494067,0.0000396468309127171,FALSE,0,no diff,1008_f_at
1009_at,#0198F5,-0.635413792803227,0.552325588886834,FALSE,0,no diff,1009_at
101_at,#0198F5,-0.307641827003494,0.0000396468309127171,FALSE,0,no diff,101_at
1010_at,#0198F5,0.00199480682747586,0.0000396468309127171,FALSE,0,no diff,1010_at
1011_s_at,#0198F5,0.346492080945927,0.0000396468309127171,FALSE,0,no diff,1011_s_at
1012_at,#0198F5,-0.0551817918339819,0.0000396468309127171,FALSE,0,no diff,1012_at
1013_at,#0198F5,0.00938449027371277,0.0000396468309127171,FALSE,0,no diff,1013_at
1014_at,#0198F5,0.071178286649632,0.0000396468309127171,FALSE,0,no diff,1014_at
1015_s_at,#0198F5,0.0165534478307149,0.0000396468309127171,FALSE,0,no diff,1015_s_at
1016_s_at,#0198F5,0.0126558822823022,0.0000396468309127171,FALSE,0,no diff,1016_s_at
1017_at,#0198F5,0.111739428475221,0.0000396468309127171,FALSE,0,no diff,1017_at
1018_at,#0198F5,0.00970013444985015,0.0000396468309127171,FALSE,0,no diff,1018_at
1019_g_at,#0198F5,0.00884021225605711,0.0000396468309127171,FALSE,0,no diff,1019_g_at
102_at,#0198F5,-0.0109264161511992,0.0000396468309127171,FALSE,0,no diff,102_at
1020_s_at,#0198F5,0.0979986932786399,0.0000396468309127171,FALSE,0,no diff,1020_s_at
1021_at,#0198F5,0.168834352705605,0.0345405018993063,FALSE,0,no diff,1021_at
1022_f_at,#0198F5,0.0262968317715513,0.0000396468309127171,FALSE,0,no diff,1022_f_at
1023_at,#0198F5,0.000114797156686278,0.0000396468309127171,FALSE,0,no diff,1023_at
1024_at,#0198F5,0.0155793604561555,0.0000396468309127171,FALSE,0,no diff,1024_at
1025_g_at,#0198F5,0.00247712524140037,0.0000396468309127171,FALSE,0,no diff,1025_g_at
1026_s_at,#0198F5,0.0103973595603791,0.0000396468309127171,FALSE,0,no diff,1026_s_at
1027_at,#0198F5,-0.00107807157743678,0.0000396468309127171,FALSE,0,no diff,1027_at
1028_at,#0198F5,0.0280155739753342,0.0000396468309127171,FALSE,0,no diff,1028_at
1029_s_at,#0198F5,0.0614446406982067,0.0055240732153853,FALSE,0,no diff,1029_s_at
103_at,#0198F5,0.0102166298263503,0.0000396468309127171,FALSE,0,no diff,103_at
1030_s_at,#0198F5,-0.105452074794909,0.0000396468309127171,FALSE,0,no diff,1030_s_at
1031_at,#0198F5,0.223356456897223,0.090808717826031,FALSE,0,no diff,1031_at
1032_at,#0198F5,0.000478473869985451,0.0000396468309127171,FALSE,0,no diff,1032_at
1033_g_at,#0198F5,0.00666038469751537,0.0000396468309127171,FALSE,0,no diff,1033_g_at
1034_at,#0198F5,-0.0056046655927865,0.0000396468309127171,FALSE,0,no diff,1034_at
1035_g_at,#0198F5,0.000975879661397396,0.0000396468309127171,FALSE,0,no diff,1035_g_at
1036_at,#0198F5,-0.463582616648325,0.326758250900859,FALSE,0,no diff,1036_at
1037_at,#0198F5,0.0313366542353571,0.0000396468309127171,FALSE,0,no diff,1037_at
1038_s_at,#0198F5,0.386536176364168,0.0000396468309127171,FALSE,0,no diff,1038_s_at
1039_s_at,#0198F5,-0.457736359434534,0.020487336612324,FALSE,0,no diff,1039_s_at
104_at,#0198F5,0.0243917172920576,0.0000396468309127171,FALSE,0,no diff,104_at
